구로,0
[삼각선(분기)],1
구일,1.4
개봉,2.4
오류동,3.7
온수,5.6
역곡,6.9
소사,8.4
부천,9.5
중동,11.2
송내,12.2
부개,13.4
부평,14.9
백운,16.6
동암,18.1
간석,19.3
주안,29.5
도화,21.5
제물포,22.5
도원,23.9
동인천,25.1
인천,27
